,Region,Antal,/100 000 inv,Date
1,Gotlands län,..,..,1998-12
2,Gotlands län,..,..,2002-10
3,Gotlands län,..,..,2007-11
4,Gotlands län,..,..,2011-11
5,Gotlands län,..,..,2012-02
6,Gotlands län,..,..,2013-12
7,Gotlands län,..,..,2014-02
8,Jämtlands län,..,..,2000-11
9,Jämtlands län,..,..,2005-12
10,Jämtlands län,1,1,1995-01
11,Jämtlands län,2,1,1995-03
12,Jämtlands län,2,1,1995-11
13,Jämtlands län,2,1,1996-12
14,Norrbottens län,4,1,1995-12
15,Norrbottens län,3,1,1999-02
16,Norrbottens län,3,1,2003-01
17,Västerbottens län,3,1,2000-11
18,Västerbottens län,3,1,2001-02
19,Blekinge län,16,10,1995-03
20,Blekinge län,15,10,1996-10
21,Blekinge län,15,10,2000-03
22,Blekinge län,15,10,2000-11
23,Blekinge län,15,10,2002-11
24,Blekinge län,15,10,2005-01
25,Blekinge län,15,10,2007-03
26,Blekinge län,16,10,2011-02
27,Dalarnas län,30,10,1996-01
28,Dalarnas län,30,10,1996-03
29,Dalarnas län,29,10,1997-10
30,Dalarnas län,29,10,1998-12
31,Dalarnas län,29,10,2000-01
32,Dalarnas län,29,10,2001-11
33,Dalarnas län,27,10,2001-12
34,Dalarnas län,29,10,2002-10
35,Dalarnas län,29,10,2003-10
36,Dalarnas län,29,10,2003-12
37,Dalarnas län,29,10,2004-03
38,Dalarnas län,27,10,2004-12
39,Dalarnas län,27,10,2005-03
40,Dalarnas län,27,10,2010-10
41,Dalarnas län,29,10,2012-12
42,Dalarnas län,27,10,2014-10
43,Gotlands län,6,10,1995-01
44,Gotlands län,6,10,1995-02
45,Gotlands län,6,10,1996-10
46,Gotlands län,6,10,1996-12
47,Gotlands län,6,10,1997-10
48,Gotlands län,6,10,1998-10
49,Gotlands län,6,10,2004-03
50,Gotlands län,6,10,2005-11
51,Gotlands län,6,10,2007-10
52,Gävleborgs län,28,10,1996-01
53,Gävleborgs län,28,10,1996-12
54,Gävleborgs län,28,10,1999-12
55,Gävleborgs län,28,10,2000-12
56,Gävleborgs län,28,10,2005-10
57,Gävleborgs län,27,10,2005-11
58,Gävleborgs län,27,10,2007-10
59,Gävleborgs län,27,10,2009-01
60,Gävleborgs län,29,10,2010-10
61,Gävleborgs län,28,10,2011-12
62,Hallands län,26,10,1999-02
63,Jämtlands län,13,10,2008-10
64,Jämtlands län,13,10,2010-10
65,Jämtlands län,13,10,2012-10
66,Jönköpings län,30,10,1995-11
67,Jönköpings län,30,10,1995-12
68,Jönköpings län,30,10,1996-10
69,Jönköpings län,30,10,1996-11
70,Jönköpings län,32,10,2005-02
71,Jönköpings län,34,10,2008-10
72,Jönköpings län,34,10,2012-02
73,Jönköpings län,35,10,2013-02
74,Kalmar län,25,10,1998-12
75,Kalmar län,23,10,2002-03
76,Kalmar län,24,10,2002-10
77,Kalmar län,23,10,2004-02
78,Kalmar län,23,10,2005-01
79,Kalmar län,24,10,2008-03
80,Kronobergs län,18,10,1995-11
81,Kronobergs län,18,10,1997-01
82,Kronobergs län,18,10,1997-11
83,Kronobergs län,18,10,1999-02
84,Kronobergs län,17,10,2004-11
85,Kronobergs län,18,10,2007-02
86,Kronobergs län,19,10,2008-10
87,Norrbottens län,24,10,2009-10
88,Norrbottens län,25,10,2010-11
89,Norrbottens län,26,10,2011-10
90,Norrbottens län,26,10,2012-01
91,Norrbottens län,24,10,2013-01
92,Stockholms län,173,10,1997-03
93,Stockholms län,176,10,1998-12
94,Stockholms län,176,10,2000-10
95,Södermanlands län,25,10,2001-01
96,Södermanlands län,25,10,2004-03
97,Södermanlands län,26,10,2004-12
98,Södermanlands län,27,10,2007-03
99,Södermanlands län,26,10,2008-03
100,Södermanlands län,27,10,2009-12
101,Södermanlands län,26,10,2010-02
102,Södermanlands län,26,10,2010-03
103,Södermanlands län,26,10,2010-11
104,Uppsala län,28,10,1995-01
105,Uppsala län,30,10,1998-03
106,Uppsala län,30,10,1999-03
107,Uppsala län,28,10,2000-03
108,Uppsala län,31,10,2001-01
109,Uppsala län,29,10,2002-03
110,Uppsala län,30,10,2002-12
111,Uppsala län,29,10,2003-10
112,Uppsala län,29,10,2004-01
113,Uppsala län,30,10,2005-01
114,Uppsala län,32,10,2006-01
115,Uppsala län,30,10,2006-10
116,Uppsala län,31,10,2007-01
117,Uppsala län,32,10,2007-10
118,Uppsala län,34,10,2008-03
119,Uppsala län,32,10,2009-02
120,Uppsala län,34,10,2011-11
121,Uppsala län,34,10,2012-03
122,Uppsala län,34,10,2012-12
123,Uppsala län,36,10,2013-02
124,Värmlands län,29,10,1996-03
125,Värmlands län,28,10,2001-02
126,Värmlands län,27,10,2002-01
127,Värmlands län,26,10,2002-12
128,Värmlands län,28,10,2004-01
129,Värmlands län,26,10,2007-10
130,Värmlands län,27,10,2008-02
131,Värmlands län,28,10,2008-11
132,Värmlands län,26,10,2009-01
133,Värmlands län,26,10,2009-11
134,Värmlands län,27,10,2012-02
135,Västerbottens län,26,10,2010-12
136,Västerbottens län,26,10,2011-10
137,Västerbottens län,26,10,2012-01
138,Västerbottens län,25,10,2012-10
139,Västernorrlands län,26,10,1996-01
140,Västernorrlands län,26,10,1997-10
141,Västernorrlands län,25,10,2003-12
142,Västernorrlands län,24,10,2004-10
143,Västernorrlands län,24,10,2005-10
144,Västernorrlands län,25,10,2008-01
145,Västernorrlands län,24,10,2009-10
146,Västernorrlands län,25,10,2011-01
147,Västmanlands län,27,10,1995-01
148,Västmanlands län,25,10,1997-01
149,Västmanlands län,27,10,1999-01
150,Västmanlands län,27,10,1999-03
151,Västmanlands län,26,10,2001-12
152,Västmanlands län,26,10,2004-02
153,Västmanlands län,27,10,2005-10
154,Västmanlands län,25,10,2008-02
