,region,date,crime_count,snow_count
9,Jämtlands län,1995-01-01,1.0,11.8
10,Jämtlands län,1995-03-01,2.0,11.48
11,Jämtlands län,1995-11-01,2.0,4.842105263157895
12,Jämtlands län,1996-12-01,2.0,13.8
13,Norrbottens län,1995-12-01,4.0,9.818181818181818
14,Norrbottens län,1999-02-01,3.0,13.363636363636363
15,Norrbottens län,2003-01-01,3.0,17.40625
16,Västerbottens län,2000-11-01,3.0,4.333333333333333
17,Västerbottens län,2001-02-01,3.0,10.476190476190476
18,Blekinge län,1995-03-01,16.0,0.5
19,Blekinge län,1996-10-01,15.0,0.0
20,Blekinge län,2000-03-01,15.0,0.5
21,Blekinge län,2000-11-01,15.0,0.0
22,Blekinge län,2002-11-01,15.0,0.0
23,Blekinge län,2005-01-01,15.0,0.0
24,Blekinge län,2007-03-01,15.0,1.0
25,Blekinge län,2011-02-01,16.0,15.0
26,Dalarnas län,1996-01-01,30.0,10.1875
27,Dalarnas län,1996-03-01,30.0,7.1875
28,Dalarnas län,1997-10-01,29.0,3.3
29,Dalarnas län,1998-12-01,29.0,13.75
30,Dalarnas län,2000-01-01,29.0,15.4
31,Dalarnas län,2001-11-01,29.0,10.357142857142858
32,Dalarnas län,2001-12-01,27.0,16.133333333333333
33,Dalarnas län,2002-10-01,29.0,4.0
34,Dalarnas län,2003-10-01,29.0,3.4444444444444446
35,Dalarnas län,2003-12-01,29.0,15.1875
36,Dalarnas län,2004-03-01,29.0,19.625
37,Dalarnas län,2004-12-01,27.0,15.875
38,Dalarnas län,2005-03-01,27.0,21.75
39,Dalarnas län,2010-10-01,27.0,0.5333333333333333
40,Dalarnas län,2012-12-01,29.0,24.61904761904762
41,Dalarnas län,2014-10-01,27.0,0.15
42,Gotlands län,1995-01-01,6.0,11.5
43,Gotlands län,1995-02-01,6.0,8.2
44,Gotlands län,1996-10-01,6.0,0.0
45,Gotlands län,1996-12-01,6.0,14.0
46,Gotlands län,1997-10-01,6.0,0.25
47,Gotlands län,1998-10-01,6.0,1.0
48,Gotlands län,2004-03-01,6.0,4.0
49,Gotlands län,2005-11-01,6.0,2.0
50,Gotlands län,2007-10-01,6.0,0.0
51,Gävleborgs län,1996-01-01,28.0,1.3
52,Gävleborgs län,1996-12-01,28.0,10.916666666666666
53,Gävleborgs län,1999-12-01,28.0,12.076923076923077
54,Gävleborgs län,2000-12-01,28.0,4.75
55,Gävleborgs län,2005-10-01,28.0,1.4545454545454546
56,Gävleborgs län,2005-11-01,27.0,4.0
57,Gävleborgs län,2007-10-01,27.0,0.3
58,Gävleborgs län,2009-01-01,27.0,24.263157894736842
59,Gävleborgs län,2010-10-01,29.0,0.5833333333333334
60,Gävleborgs län,2011-12-01,28.0,15.0
61,Hallands län,1999-02-01,26.0,13.25
62,Jämtlands län,2008-10-01,13.0,1.6
63,Jämtlands län,2010-10-01,13.0,2.107142857142857
64,Jämtlands län,2012-10-01,13.0,4.882352941176471
65,Jönköpings län,1995-11-01,30.0,3.888888888888889
66,Jönköpings län,1995-12-01,30.0,5.0
67,Jönköpings län,1996-10-01,30.0,0.0
68,Jönköpings län,1996-11-01,30.0,3.125
69,Jönköpings län,2005-02-01,32.0,15.785714285714286
70,Jönköpings län,2008-10-01,34.0,0.42857142857142855
71,Jönköpings län,2012-02-01,34.0,21.470588235294116
72,Jönköpings län,2013-02-01,35.0,22.5
73,Kalmar län,1998-12-01,25.0,14.333333333333334
74,Kalmar län,2002-03-01,23.0,2.3333333333333335
75,Kalmar län,2002-10-01,24.0,2.111111111111111
76,Kalmar län,2004-02-01,23.0,7.636363636363637
77,Kalmar län,2005-01-01,23.0,9.181818181818182
78,Kalmar län,2008-03-01,24.0,6.076923076923077
79,Kronobergs län,1995-11-01,18.0,2.0
80,Kronobergs län,1997-01-01,18.0,11.25
81,Kronobergs län,1997-11-01,18.0,0.6666666666666666
82,Kronobergs län,1999-02-01,18.0,11.6
83,Kronobergs län,2004-11-01,17.0,6.5
84,Kronobergs län,2007-02-01,18.0,12.166666666666666
85,Kronobergs län,2008-10-01,19.0,0.2
86,Norrbottens län,2009-10-01,24.0,15.65
87,Norrbottens län,2010-11-01,25.0,24.166666666666668
88,Norrbottens län,2011-10-01,26.0,0.6410256410256411
89,Norrbottens län,2012-01-01,26.0,29.166666666666668
90,Norrbottens län,2013-01-01,24.0,28.525
91,Stockholms län,1997-03-01,173.0,1.6666666666666667
92,Stockholms län,1998-12-01,176.0,8.0
93,Stockholms län,2000-10-01,176.0,1.5
94,Södermanlands län,2001-01-01,25.0,6.0
95,Södermanlands län,2004-03-01,25.0,7.5
96,Södermanlands län,2004-12-01,26.0,4.9
97,Södermanlands län,2007-03-01,27.0,4.777777777777778
98,Södermanlands län,2008-03-01,26.0,2.3636363636363638
99,Södermanlands län,2009-12-01,27.0,11.615384615384615
100,Södermanlands län,2010-02-01,26.0,21.583333333333332
101,Södermanlands län,2010-03-01,26.0,19.1
102,Södermanlands län,2010-11-01,26.0,9.636363636363637
103,Uppsala län,1995-01-01,28.0,11.428571428571429
104,Uppsala län,1998-03-01,30.0,5.5
105,Uppsala län,1999-03-01,30.0,6.285714285714286
106,Uppsala län,2000-03-01,28.0,3.0
107,Uppsala län,2001-01-01,31.0,6.166666666666667
108,Uppsala län,2002-03-01,29.0,4.166666666666667
109,Uppsala län,2002-12-01,30.0,8.5
110,Uppsala län,2003-10-01,29.0,6.0
111,Uppsala län,2004-01-01,29.0,21.875
112,Uppsala län,2005-01-01,30.0,9.875
113,Uppsala län,2006-01-01,32.0,24.77777777777778
114,Uppsala län,2006-10-01,30.0,0.0
115,Uppsala län,2007-01-01,31.0,12.88888888888889
116,Uppsala län,2007-10-01,32.0,0.0
117,Uppsala län,2008-03-01,34.0,6.0
118,Uppsala län,2009-02-01,32.0,21.77777777777778
119,Uppsala län,2011-11-01,34.0,0.8571428571428571
120,Uppsala län,2012-03-01,34.0,0.875
121,Uppsala län,2012-12-01,34.0,24.5
122,Uppsala län,2013-02-01,36.0,22.333333333333332
123,Värmlands län,1996-03-01,29.0,7.555555555555555
124,Värmlands län,2001-02-01,28.0,8.4
125,Värmlands län,2002-01-01,27.0,10.0
126,Värmlands län,2002-12-01,26.0,12.23076923076923
127,Värmlands län,2004-01-01,28.0,14.533333333333333
128,Värmlands län,2007-10-01,26.0,0.2
129,Värmlands län,2008-02-01,27.0,12.352941176470589
130,Värmlands län,2008-11-01,28.0,6.0
131,Värmlands län,2009-01-01,26.0,15.764705882352942
132,Värmlands län,2009-11-01,26.0,4.25
133,Värmlands län,2012-02-01,27.0,23.647058823529413
134,Västerbottens län,2010-12-01,26.0,28.333333333333332
135,Västerbottens län,2011-10-01,26.0,0.6333333333333333
136,Västerbottens län,2012-01-01,26.0,29.08823529411765
137,Västerbottens län,2012-10-01,25.0,5.575757575757576
138,Västernorrlands län,1996-01-01,26.0,3.8333333333333335
139,Västernorrlands län,1997-10-01,26.0,1.0
140,Västernorrlands län,2003-12-01,25.0,6.0
141,Västernorrlands län,2004-10-01,24.0,0.0
142,Västernorrlands län,2005-10-01,24.0,1.5
143,Västernorrlands län,2008-01-01,25.0,21.0
