,Location,Month,Snow days
0,Abisko,1995-01,31
1,Abraur,1995-02,16
2,Adak,1995-03,0
3,Alingsås D,1995-04,0
4,Almdalen,1995-05,0
5,Ankarsrum D,1995-10,0
6,Ankarvattnet D,1995-11,0
7,Arjeplog-Myrheden D,1995-12,0
8,Asker D,1996-01,0
9,Askim D,1996-02,0
10,Aspa D,1996-03,0
11,Aspeå,1996-04,15
12,Austers D,1996-05,0
13,Avasjö-Borgafjäll D,1996-10,0
14,Avesta,1996-11,9
15,Backe D,1996-12,0
16,Bakarebo D,1997-01,12
17,Balsjö D,1997-02,0
18,Baramossa,1997-03,0
19,Bastansjö D,1997-04,0
20,Bengtsfors,1997-05,0
21,Berg,1997-09,0
22,Bergsjö,1997-10,0
23,Bispgården,1997-11,0
24,Bjursås,1997-12,0
25,Bjärnum D,1998-01,0
26,Björklinge D,1998-02,0
27,Björkudden,1998-03,0
28,Björkvik D,1998-04,0
29,Blaiken D,1998-05,0
30,Bollebygd,1998-09,0
31,Bollnäs D,1998-10,0
32,Borgvattnet D,1998-11,0
33,Borlänge D,1998-12,20
34,Borås,1999-01,8
35,Bottnaryd,1999-02,0
36,Bottnen,1999-03,0
37,Bredbyn D,1999-04,0
38,Bromölla,1999-05,0
39,Brovallen,1999-10,0
40,Brände,1999-11,1
41,Brännberg D,1999-12,0
42,Brännforssund,2000-01,2
43,Brösarp D,2000-02,0
44,Bygdsiljum D,2000-03,0
45,Bäckefors,2000-04,0
46,Bäverträsk,2000-05,0
47,Börrum D,2000-10,0
48,Charlottenberg,2000-11,0
49,Dala-Järna D,2000-12,1
50,Dalarö D,2001-01,0
51,Dalstorp,2001-02,0
52,Degeberga D,2001-03,0
53,Degerfors D,2001-04,0
54,Delsbo,2001-09,0
55,Digernäset D,2001-10,0
56,Djursätra,2001-11,0
57,Djurö D,2001-12,0
58,Dödre,2002-01,3
59,Ed D,2002-02,0
60,Edevik,2002-03,27
61,Eftra D,2002-04,0
62,Emmaboda D,2002-05,0
63,Enköping,2002-10,0
64,Eringsboda D,2002-11,0
65,Eskilstuna,2002-12,0
66,Esrange,2003-01,31
67,Fagerhult D,2003-02,28
68,Falköping-Valtorp D,2003-03,0
69,Falsterbo,2003-04,0
70,Falun-Lugnet,2003-05,0
71,Finnbacka D,2003-09,0
72,Finspång,2003-10,0
73,Fjällsjönäs,2003-11,22
74,Forse,2003-12,23
75,Fotskäl D,2004-01,0
76,Fredriksberg,2004-02,20
77,Fridlevstad D,2004-03,0
78,Frostviken D,2004-04,0
79,Frändesta,2004-05,0
80,Fägre D,2004-10,0
81,Fågelberget D,2004-11,0
82,Fågelsjö D,2004-12,21
83,Gargnäs D,2005-01,0
84,Gendalen,2005-02,7
85,Gesunda D,2005-03,0
86,Gillastig,2005-04,0
87,Glindran,2005-05,0
88,Glommersträsk,2005-09,0
89,Godegård D,2005-10,1
90,Granhed D,2005-11,0
91,Granhult,2005-12,31
92,Granö D,2006-01,0
93,Grebbeshult,2006-02,28
94,Grythyttan,2006-03,31
95,Gräsås D,2006-04,2
96,Grönliden,2006-05,2
97,Gullspång,2006-09,0
98,Gustavsfors,2006-10,1
99,Gustorp D,2006-11,0
100,Gästrike-Hammarby D,2006-12,0
101,Gävle-Åbyggeby,2007-01,19
102,Gåltjärn,2007-02,28
103,Halmstad,2007-03,0
104,Hammarö,2007-04,0
105,Hammerdal D,2007-05,0
106,Handsjön D,2007-10,2
107,Haparanda D,2007-11,15
108,Harads D,2007-12,0
109,Hattsjöbäcken D,2008-01,31
110,Heden,2008-02,1
111,Hedesunda,2008-03,5
112,Hedeviken,2008-04,0
113,Hejnum,2008-05,0
114,Hellerö,2008-10,0
115,Hemse,2008-11,4
116,Hennan D,2008-12,31
117,Henån,2009-01,0
118,Herrljunga D,2009-02,19
119,Hestra D,2009-03,2
120,Hid D,2009-04,0
121,Hillersboda,2009-05,0
122,Hillsand,2009-10,2
123,Hinshult,2009-11,1
124,Hjo,2009-12,5
125,Hjortkvarn D,2010-01,31
126,Hoburg D,2010-02,20
127,Hofors,2010-03,23
128,Holmbo D,2010-04,0
129,Holmfors D,2010-05,0
130,Holmön D,2010-10,1
131,Horred,2010-11,0
132,Hov,2010-12,0
133,Hudiksvall,2011-01,31
134,Hult D,2011-02,28
135,Hyltan,2011-03,4
136,Hyndevad,2011-04,0
137,Häggberget D,2011-05,1
138,Häggårda,2011-07,0
139,Hälleforsnäs D,2011-11,0
140,Härjeåsjön,2011-12,0
141,Härnebo,2012-01,27
142,Härnösand,2012-02,29
143,Härryda,2012-03,0
144,Härsnäs,2012-04,1
145,Hässleby D,2012-05,0
146,Håvelund,2012-06,0
147,Högboda,2012-07,0
148,Högemålen D,2012-08,0
149,Höglekardalen,2012-09,0
150,Högsbo,2012-10,0
151,Höljes,2012-11,3
152,Idre D,2012-12,25
153,Jarhois,2013-01,31
154,Jukkasjärvi D,2013-02,0
155,Jäckvik,2013-03,31
156,Järpströmmen,2013-04,8
157,Järvsö,2013-05,0
158,Jönköping,2013-06,0
159,Jörn D,2013-07,0
160,Kalix D,2013-08,0
161,Kalmar D,2013-09,0
162,Kalvträsk D,2013-10,1
163,Kangos D,2013-11,27
164,Karesuando,2013-12,0
165,Karlshamn,2014-01,12
166,Karlskoga,2014-02,7
167,Karlstad-Skåre,2014-03,0
168,Karungi,2014-04,8
169,Katterjåkk,2014-05,19
170,Kaxås-Åflo D,2014-06,0
171,Kilafors D,2014-07,0
172,Kilagården,2014-08,0
173,Kindsboda,2014-09,0
174,Kindsjön D,2014-10,1
175,Kiruna,2014-11,0
176,Kisa D,2014-12,9
177,Kittelfjäll D,2015-01,29
178,Klippan,2015-02,4
179,Klöverträsk D,2015-03,31
180,Knopparp D,2015-04,0
181,Knäred D,2015-05,0
182,Koler D,2015-06,0
183,Kolsva D,2015-07,0
184,Kopparberg D,2015-08,0
185,Korsberga,2015-09,0
186,Kramfors,2015-10,0
187,Kristianstad,2015-11,0
188,Kristinehamn,2015-12,4
189,Krokshult D,2016-01,25
190,Kråkemåla,2016-02,0
191,Kungsberget D,2016-03,19
192,Kungsör,2016-04,0
193,Kusmark D,2016-05,0
194,Kvikkjokk-Årrenjarka,2016-06,0
195,Kypasjärvi D,2016-07,0
196,Kyrktåsjö D,2016-08,0
197,Källebäcken,2016-09,0
198,Källsjö,2016-10,0
199,Kärna,2016-11,5
200,Kätkesuando,2016-12,31
201,Kävsjö D,2017-01,10
202,Kållered D,2017-02,5
203,Kölsillre,2017-03,31
204,Laholm D,2017-04,0
205,Lainio,2017-05,19
206,Landskrona D,2017-06,0
207,Landsort,2017-07,0
208,Lanna,2017-08,0
209,Lannavaara D,2017-09,0
210,Latikberg D,2017-10,0
211,Leksand,2017-11,4
212,Lesjöfors D,2017-12,31
213,Lessebo,2018-01,9
214,Letafors D,2018-02,27
215,Lidhult D,2018-03,30
216,Lidköping,2018-04,0
217,Lillhamra D,2018-05,5
218,Linhult D,2018-06,0
219,Linköping,2018-07,0
220,Malmslätt,2018-08,0
221,Ljugarn D,2018-09,0
222,Ljungby D,2018-10,0
223,Ljusdals-Valsjön,2018-11,0
224,Ljusnedal,2018-12,28
225,Lobonäs D,2019-01,31
226,Los D,2019-02,28
227,Louisefred,2019-03,0
228,Ludvika,2019-04,1
229,Luleå-Bergnäset,2019-05,0
230,Luleå Flygplats,2019-06,0
231,Lund,2019-07,0
232,Lundsjön,2019-08,0
233,Lyckeby,2019-09,0
234,Lysekil D,2019-10,0
235,Långan D,2019-11,28
236,Löten D,2019-12,31
237,Löttorp D,2020-01,0
238,Lövberga D,2020-02,29
239,Lövestad,2020-03,1
240,Lövånger,2020-04,5
241,Malkälen D,2020-05,0
242,Malmberget,2020-06,0
243,Malmbäck D,2020-07,0
244,Malungsfors,2020-08,0
245,Malå,2020-09,0
246,Marby D,2020-10,0
247,Marbäck D,2020-11,0
248,Mariefred,2020-12,0
249,Mariestad,2021-01,7
250,Markaryd,2021-02,23
251,Markusvinsa,2021-03,31
252,Mjölkbäcken,2021-04,30
253,Moheda D,2021-05,0
254,Mollsjönäs D,2021-06,0
255,Mosekälla,2021-07,0
256,Moskosel,2021-08,0
257,Motala,2021-09,0
258,Multrå D,1995-06,0
259,Munka-Ljungby D,1995-07,0
260,Murjek D,1995-08,0
261,Myckelgensjö,2001-05,0
262,Myre,2004-09,0
263,Myskelåsen D,2010-09,5
264,Mälgåsen D,2011-06,0
265,Mästerby,2011-08,0
266,Mångsbodarna,2011-09,0
267,Mönsterås D,2011-10,0
268,Mörbylånga,2008-06,0
269,Mörsil,2008-07,0
270,Nianfors,2008-08,0
271,Nobynäs D,2008-09,0
272,Nora-Östanö D,2009-06,0
273,Norberg,2009-07,0
274,Nordanbäck D,2009-08,0
275,Nordanås,2009-09,0
276,Norderön,2010-06,0
277,Nornäs D,2010-07,0
278,Norra Möckleby D,2010-08,0
279,Norra Ströö,2004-06,0
280,Norra Vi D,2004-07,0
281,Norrby S,2004-08,0
282,Norrköping-SMHI,2005-06,0
283,Norrveda,2005-07,0
284,Norsborg 2,2005-08,0
285,Nyhammar,2006-06,0
286,Nyhamnsläge,2006-07,0
287,Nyköping,2006-08,0
288,Nynäshamn,2007-06,0
289,Nämdö,2007-07,0
290,Näshulta,2007-08,0
291,Näsåker,2007-09,0
292,Nävelsjö,1997-06,0
293,Ockelbo,1995-09,0
294,Olastorp,1996-06,0
295,Olofström,1996-07,0
296,Omberg D,1996-08,0
297,Onsala D,1996-09,0
298,Orrefors D,1997-07,0
299,Orsa D,1997-08,0
300,Osby,1998-06,0
301,Oskarshamn,1998-07,0
302,Oxelösund,1998-08,0
303,Parakka,1999-06,0
304,Parkajoki,1999-07,0
305,Persberg,1999-08,0
306,Piteå,1999-09,0
307,Pjätteryd,2000-06,0
308,Prästkulla,2000-07,0
309,Puottaure,2000-08,0
310,Ramsjöholm,2000-09,0
311,Reftele D,2001-06,0
312,Remningstorp,2001-07,0
313,Resele,2001-08,0
314,Rickleå,2002-06,0
315,Riddarhyttan,2002-07,0
316,Rissna D,2002-08,0
317,Ronneby-Bredåkra,2002-09,0
318,Rossö,2003-06,0
319,Rossön,2003-07,0
320,Rusksele D,2003-08,0
